Country,Regimetype,Overallscore,Electoralprocessandpluralism,Functioningofgovernment,Politicalparticipation,Politicalculture,Civilliberties
Norway,Full democracy,9.75,10.0,9.64,10.0,10.0,9.12
New Zealand,Full democracy,9.37,10.0,8.93,9.44,8.75,9.71
Finland,Full democracy,9.27,10.0,9.29,8.89,8.75,9.41
Sweden,Full democracy,9.26,9.58,9.29,8.33,10.0,9.12
Iceland,Full democracy,9.18,10.0,8.21,8.89,9.38,9.41
Denmark,Full democracy,9.09,10.0,8.93,8.33,9.38,8.82
Ireland,Full democracy,9.0,10.0,7.86,8.33,9.38,9.41
Taiwan,Full democracy,8.99,10.0,9.64,7.78,8.13,9.41
Australia,Full democracy,8.9,10.0,8.57,7.78,8.75,9.41
Switzerland,Full democracy,8.9,9.58,8.93,7.78,9.38,8.82
Netherlands,Full democracy,8.88,9.58,8.93,8.33,8.75,8.82
Canada,Full democracy,8.87,10.0,8.21,8.89,8.13,9.12
Uruguay,Full democracy,8.85,10.0,8.57,7.22,8.75,9.71
Luxembourg,Full democracy,8.68,10.0,8.57,6.67,8.75,9.41
Germany,Full democracy,8.67,9.58,8.21,8.33,8.13,9.12
South Korea,Full democracy,8.16,9.58,8.57,7.22,7.5,7.94
Japan,Full democracy,8.15,9.17,8.57,6.67,8.13,8.24
United Kingdom,Full democracy,8.1,9.58,7.5,8.33,6.25,8.82
Mauritius,Full democracy,8.08,9.17,7.86,6.11,8.75,8.53
Austria,Full democracy,8.07,9.58,6.79,8.89,6.88,8.24
Costa Rica,Full democracy,8.07,9.58,6.43,7.78,6.88,9.71
France,Flawed democracy,7.99,9.58,7.5,7.78,6.88,8.24
Israel,Flawed democracy,7.97,9.58,7.5,10.0,6.88,5.88
Spain,Flawed democracy,7.94,9.58,7.14,7.22,7.5,8.24
Chile,Flawed democracy,7.92,9.58,7.86,5.56,7.5,9.12
United States,Flawed democracy,7.85,9.17,6.43,8.89,6.25,8.53
Estonia,Flawed democracy,7.84,9.58,7.86,6.67,6.88,8.24
Portugal,Flawed democracy,7.82,9.58,7.14,6.67,6.88,8.82
Czech Republic,Flawed democracy,7.74,9.58,6.43,6.67,7.5,8.53
Botswana,Flawed democracy,7.73,9.17,6.79,6.67,7.5,8.53
Italy,Flawed democracy,7.68,9.58,6.43,7.22,7.5,7.65
Cape Verde,Flawed democracy,7.65,9.17,7.0,6.67,6.88,8.53
Malta,Flawed democracy,7.57,9.17,6.79,5.56,8.13,8.24
Greece,Flawed democracy,7.56,9.58,6.07,6.11,7.5,8.53
Slovenia,Flawed democracy,7.54,9.58,6.43,7.22,6.25,8.24
Belgium,Flawed democracy,7.51,9.58,7.86,5.0,6.88,8.24
Cyprus,Flawed democracy,7.43,9.17,5.36,7.22,6.88,8.53
Latvia,Flawed democracy,7.31,9.58,6.07,6.11,6.25,8.53
Malaysia,Flawed democracy,7.24,9.58,7.86,7.22,6.25,5.29
Lithuania,Flawed democracy,7.18,9.58,6.07,6.11,5.63,8.53
Trinidad and Tobago,Flawed democracy,7.16,9.58,7.14,6.11,5.63,7.35
Jamaica,Flawed democracy,7.13,8.75,7.14,5.0,6.25,8.53
East Timor,Flawed democracy,7.06,9.58,5.93,5.56,6.88,7.35
South Africa,Flawed democracy,7.05,7.42,7.14,8.33,5.0,7.35
Slovakia,Flawed democracy,7.03,9.58,6.43,5.56,5.63,7.94
India,Flawed democracy,6.91,8.67,7.5,7.22,5.0,6.18
Brazil,Flawed democracy,6.86,9.58,5.36,6.11,5.63,7.65
Panama,Flawed democracy,6.85,9.58,6.07,7.22,3.75,7.65
Suriname,Flawed democracy,6.82,9.58,6.07,6.11,5.0,7.35
Argentina,Flawed democracy,6.81,9.17,5.0,7.22,5.0,7.65
Poland,Flawed democracy,6.8,9.17,6.07,6.67,5.63,6.47
Indonesia,Flawed democracy,6.71,7.92,7.86,7.22,4.38,6.18
Bulgaria,Flawed democracy,6.64,9.17,5.36,7.22,4.38,7.06
Philippines,Flawed democracy,6.62,9.17,5.0,7.78,4.38,6.76
Namibia,Flawed democracy,6.52,7.0,5.36,6.67,5.63,7.94
Croatia,Flawed democracy,6.5,9.17,6.07,6.11,4.38,6.76
Ghana,Flawed democracy,6.5,8.33,5.36,6.67,6.25,5.88
Hungary,Flawed democracy,6.5,8.33,6.43,5.0,6.25,6.47
Colombia,Flawed democracy,6.48,9.17,5.71,6.11,3.75,7.65
Dominican Republic,Flawed democracy,6.45,9.17,5.0,6.67,4.38,7.06
Romania,Flawed democracy,6.43,9.17,6.07,6.11,3.75,7.06
Mongolia,Flawed democracy,6.42,8.75,5.71,6.11,5.63,5.88
Serbia,Flawed democracy,6.36,8.25,6.07,6.67,3.75,7.06
Lesotho,Flawed democracy,6.3,9.17,4.14,6.11,5.63,6.47
Guyana,Flawed democracy,6.25,6.92,6.07,5.56,5.63,7.06
Singapore,Flawed democracy,6.23,4.83,8.21,4.44,7.5,6.18
Sri Lanka,Flawed democracy,6.14,7.0,5.71,5.56,6.25,6.18
Albania,Flawed democracy,6.11,7.0,6.43,4.44,5.63,7.06
Moldova,Flawed democracy,6.1,7.0,5.71,6.67,4.38,6.76
Papua New Guinea,Flawed democracy,6.1,6.92,6.07,3.89,6.25,7.35
Peru,Flawed democracy,6.09,8.75,5.36,5.56,3.75,7.06
Thailand,Flawed democracy,6.04,7.0,5.0,6.67,6.25,5.29
North Macedonia,Flawed democracy,6.03,7.42,6.43,6.11,3.13,7.06
Montenegro,Flawed democracy,6.02,7.42,6.43,6.67,3.13,6.47
Bangladesh,Hybrid regime,5.99,7.42,6.07,5.56,5.63,5.29
Tunisia,Hybrid regime,5.99,7.5,4.64,7.22,5.0,5.59
Paraguay,Hybrid regime,5.86,8.75,5.36,5.0,3.13,7.06
Malawi,Hybrid regime,5.74,7.0,4.29,5.0,6.25,6.18
El Salvador,Hybrid regime,5.72,9.17,3.93,5.56,3.75,6.18
Zambia,Hybrid regime,5.72,7.5,3.64,5.0,6.88,5.59
Bhutan,Hybrid regime,5.71,8.75,6.79,3.33,5.0,4.71
Ecuador,Hybrid regime,5.71,8.75,5.0,6.11,2.5,6.18
Madagascar,Hybrid regime,5.7,7.92,3.57,6.67,5.63,4.71
Fiji,Hybrid regime,5.61,6.58,5.0,5.56,5.63,5.29
Hong Kong,Hybrid regime,5.6,2.75,3.64,5.56,7.5,8.53
Mexico,Hybrid regime,5.57,6.92,5.0,7.22,3.13,5.59
Ukraine,Hybrid regime,5.57,8.25,2.36,6.67,5.0,5.59
Senegal,Hybrid regime,5.53,5.67,5.71,4.44,6.25,5.59
Armenia,Hybrid regime,5.49,7.5,5.71,6.11,3.13,5.0
Liberia,Hybrid regime,5.43,7.42,2.71,6.11,5.63,5.29
Georgia,Hybrid regime,5.12,7.42,3.57,5.56,3.75,5.29
Honduras,Hybrid regime,5.1,8.75,3.93,4.44,2.5,5.88
Tanzania,Hybrid regime,5.1,4.83,5.0,5.0,6.25,4.41
Kenya,Hybrid regime,5.05,3.5,5.36,6.67,5.63,4.12
Bosnia and Herzegovina,Hybrid regime,5.04,7.0,3.29,5.56,3.75,5.59
Morocco,Hybrid regime,5.04,5.25,4.64,5.56,5.63,4.12
Sierra Leone,Hybrid regime,4.97,6.58,2.86,3.89,6.25,5.29
Bolivia,Hybrid regime,4.65,4.75,4.29,6.11,2.5,5.59
Guatemala,Hybrid regime,4.62,6.92,3.93,3.89,2.5,5.88
Uganda,Hybrid regime,4.48,3.42,3.21,3.89,6.88,5.0
Gambia,Hybrid regime,4.41,3.58,4.29,4.44,5.63,4.12
Nepal,Hybrid regime,4.41,4.83,5.0,4.44,2.5,5.29
Turkey,Hybrid regime,4.35,3.5,5.0,5.56,5.63,2.06
Pakistan,Hybrid regime,4.31,5.67,5.36,3.33,2.5,4.71
Ivory Coast,Hybrid regime,4.22,4.33,2.86,4.44,5.63,3.82
Benin,Hybrid regime,4.19,1.67,5.36,3.89,5.63,4.41
Nigeria,Hybrid regime,4.11,5.17,3.93,3.89,3.75,3.82
Mauritania,Hybrid regime,4.03,3.5,3.57,5.56,3.13,4.41
Palestine,Authoritarian,3.94,3.33,0.14,8.33,4.38,3.53
Kuwait,Authoritarian,3.91,3.58,3.93,4.44,4.38,3.24
Burkina Faso,Authoritarian,3.84,3.0,2.36,5.0,5.0,3.82
Lebanon,Authoritarian,3.84,3.5,1.14,6.67,3.75,4.12
Algeria,Authoritarian,3.77,3.08,2.5,4.44,5.0,3.82
Qatar,Authoritarian,3.65,1.5,4.29,3.33,5.63,3.53
Kyrgyzstan,Authoritarian,3.62,4.33,1.5,4.44,3.13,4.71
Iraq,Authoritarian,3.51,5.25,0.0,6.11,5.0,1.18
Mozambique,Authoritarian,3.51,2.58,1.43,5.0,5.0,3.53
Jordan,Authoritarian,3.49,2.67,3.93,3.89,3.75,3.24
Haiti,Authoritarian,3.48,3.08,0.0,2.78,6.25,5.29
Mali,Authoritarian,3.48,2.42,0.0,5.56,5.63,3.82
Gabon,Authoritarian,3.4,2.17,1.86,4.44,5.0,3.53
Angola,Authoritarian,3.37,1.33,2.86,5.0,5.0,2.65
Ethiopia,Authoritarian,3.3,0.42,3.21,6.11,5.0,1.76
Russia,Authoritarian,3.24,1.75,2.14,4.44,3.75,4.12
Niger,Authoritarian,3.22,2.0,1.14,3.89,4.38,4.71
Comoros,Authoritarian,3.2,2.08,2.21,4.44,3.75,3.53
Rwanda,Authoritarian,3.1,1.42,4.29,2.78,4.38,2.65
Eswatini,Authoritarian,3.08,0.92,2.86,2.78,5.63,3.24
Kazakhstan,Authoritarian,3.08,0.5,3.21,5.0,3.75,2.94
Oman,Authoritarian,3.0,0.08,3.93,2.78,4.38,3.82
Vietnam,Authoritarian,2.94,0.0,2.86,3.89,5.63,2.35
Egypt,Authoritarian,2.93,1.33,3.21,3.33,5.0,1.76
Zimbabwe,Authoritarian,2.92,0.0,2.5,3.89,5.0,3.24
Cambodia,Authoritarian,2.9,0.0,3.21,3.89,5.63,1.76
United Arab Emirates,Authoritarian,2.9,0.0,4.29,2.22,5.63,2.35
Togo,Authoritarian,2.8,0.92,1.79,3.33,5.0,2.94
Republic of the Congo,Authoritarian,2.79,0.0,2.5,4.44,3.75,3.24
Guinea-Bissau,Authoritarian,2.75,4.92,0.0,3.33,3.13,2.35
Djibouti,Authoritarian,2.74,0.0,1.29,4.44,5.63,2.35
Nicaragua,Authoritarian,2.69,0.0,2.5,3.33,4.38,3.24
Azerbaijan,Authoritarian,2.68,0.5,2.5,2.78,5.0,2.65
Cuba,Authoritarian,2.59,0.0,3.21,3.33,3.75,2.65
Cameroon,Authoritarian,2.56,0.33,2.14,3.89,4.38,2.06
Bahrain,Authoritarian,2.52,0.42,2.71,3.33,4.38,1.76
Sudan,Authoritarian,2.47,0.0,1.43,4.44,5.0,1.47
Belarus,Authoritarian,2.41,0.0,2.0,3.89,4.38,1.76
Guinea,Authoritarian,2.28,1.25,0.43,3.33,3.75,2.65
China,Authoritarian,2.21,0.0,4.29,2.78,3.13,0.88
Burundi,Authoritarian,2.13,0.0,0.0,3.89,5.0,1.76
Uzbekistan,Authoritarian,2.12,0.08,1.86,2.78,5.0,0.88
Venezuela,Authoritarian,2.11,0.0,1.79,3.89,2.5,2.35
Saudi Arabia,Authoritarian,2.08,0.0,3.57,2.22,3.13,1.47
Eritrea,Authoritarian,2.03,0.0,2.14,0.56,6.88,0.59
Libya,Authoritarian,1.95,0.0,0.0,3.33,3.75,2.65
Iran,Authoritarian,1.95,0.0,2.5,3.89,1.88,1.47
Yemen,Authoritarian,1.95,0.0,0.0,3.89,5.0,0.88
Tajikistan,Authoritarian,1.94,0.0,2.21,2.22,4.38,0.88
Equatorial Guinea,Authoritarian,1.92,0.0,0.43,3.33,4.38,1.47
Laos,Authoritarian,1.77,0.0,2.86,1.67,3.75,0.59
Chad,Authoritarian,1.67,0.0,0.0,2.22,3.75,2.35
Turkmenistan,Authoritarian,1.66,0.0,0.79,2.22,5.0,0.29
Syria,Authoritarian,1.43,0.0,0.0,2.78,4.38,0.0
Central African Republic,Authoritarian,1.43,1.25,0.0,1.67,1.88,2.35
Democratic Republic of the Congo,Authoritarian,1.4,0.75,0.0,2.22,3.13,0.88
North Korea,Authoritarian,1.08,0.0,2.5,1.67,1.25,0.0
Myanmar,Authoritarian,1.02,0.0,0.0,1.67,3.13,0.29
Afghanistan,Authoritarian,0.32,0.0,0.07,0.0,1.25,0.29
